ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-E2-A14R-01	3033.78	3112.34	6146.12
TCGA-E2-A14S-01	3233.55	2669.01	5902.56
TCGA-E2-A14V-01	3182.59	1383.32	4565.92
TCGA-E2-A14W-01	2841.79	690.25	3532.04
TCGA-E2-A14X-01	3285.63	3120.58	6406.21
TCGA-E2-A14Y-01	2641.93	1811.85	4453.78
TCGA-E2-A14Z-01	3893.51	3548.61	7442.12
TCGA-E2-A150-01	3592.41	2974.24	6566.66
TCGA-E2-A152-01	3759.87	2363.24	6123.11
TCGA-E2-A153-01	4144.04	2698.16	6842.2
TCGA-E2-A154-01	3542.84	1391.33	4934.16
TCGA-E2-A155-01	2687.54	885.14	3572.68
