ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-AR-A1AS-01	-84.57	-367.89	-452.45
TCGA-AR-A1AT-01	367.33	1186.53	1553.87
TCGA-AR-A1AU-01	468.11	-424.9	43.22
TCGA-AR-A1AV-01	162.33	-365.19	-202.85
TCGA-AR-A1AW-01	1083.55	2632.74	3716.29
TCGA-AR-A1AX-01	838.81	1668.86	2507.67
TCGA-AR-A1AY-01	-229.77	-533.2	-762.98
TCGA-AR-A24H-01	-306.55	125.23	-181.31
TCGA-AR-A24K-01	-262.79	-995.73	-1258.52
TCGA-AR-A24L-01	894.56	-428.08	466.49
TCGA-AR-A24M-01	795.22	-179.28	615.94
TCGA-AR-A24N-01	445.86	-317.37	128.5
TCGA-AR-A24O-01	1542.66	603.02	2145.68
TCGA-AR-A24P-01	806.58	-164.58	642
TCGA-AR-A24Q-01	688.84	343.39	1032.23
TCGA-AR-A24R-01	200.11	96.66	296.78
TCGA-AR-A24S-01	1388.44	1154.86	2543.3
TCGA-AR-A24T-01	1403.52	227.25	1630.76
TCGA-AR-A24U-01	1143.42	1380.6	2524.02
TCGA-AR-A24V-01	1471.44	401.27	1872.71
TCGA-AR-A24W-01	623.74	-635.16	-11.41
TCGA-AR-A24X-01	426.23	-358.2	68.02
TCGA-AR-A24Z-01	-236.48	-400.81	-637.29
TCGA-AR-A250-01	1185.06	469.79	1654.85
TCGA-AR-A251-01	7.61	-285.79	-278.18
TCGA-AR-A252-01	1177.16	1906.76	3083.92
TCGA-AR-A254-01	1144.19	1026.77	2170.96
TCGA-AR-A255-01	1051.94	412.72	1464.66
TCGA-AR-A256-01	-226.65	-96.16	-322.81
TCGA-AR-A2LE-01	27.59	-274.29	-246.7
TCGA-AR-A2LH-01	651.21	1529.78	2181
TCGA-AR-A2LJ-01	995.9	1370.84	2366.74
TCGA-AR-A2LK-01	374.86	-52.34	322.52
TCGA-AR-A2LL-01	112.33	242.48	354.81
TCGA-AR-A2LM-01	1094.05	10.39	1104.44
TCGA-AR-A2LN-01	1349.53	340.91	1690.44
TCGA-AR-A2LO-01	731.32	794.91	1526.23
TCGA-AR-A2LQ-01	1687.29	265.81	1953.1
TCGA-AR-A2LR-01	668.71	-530.14	138.57
TCGA-AR-A5QM-01	788.35	554.56	1342.91
TCGA-AR-A5QN-01	525.88	166.71	692.59
TCGA-AR-A5QP-01	439.79	-261.58	178.21
TCGA-AR-A5QQ-01	308.91	1737.85	2046.76
TCGA-B6-A0I1-01	-1313.77	-909.61	-2223.38
TCGA-B6-A0I2-01	-522.72	1466	943.29
TCGA-B6-A0I5-01	165.57	88.6	254.16
TCGA-B6-A0I6-01	170.99	-579.36	-408.38
TCGA-B6-A0I8-01	86.54	-891.66	-805.13
TCGA-B6-A0I9-01	-502.97	-186.13	-689.1
TCGA-B6-A0IA-01	-1057.9	-691.23	-1749.13
TCGA-B6-A0IB-01	-819.27	-1158.5	-1977.78
TCGA-B6-A0IC-01	-1670.15	-859.71	-2529.86
TCGA-B6-A0IE-01	-69.67	-645.75	-715.42
TCGA-B6-A0IG-01	-258.95	-544.83	-803.77
TCGA-B6-A0IH-01	882.44	390.32	1272.76
TCGA-B6-A0IJ-01	-331.9	1413.35	1081.46
TCGA-B6-A0IK-01	-196.67	-185.74	-382.41
TCGA-B6-A0IM-01	224.43	-480.2	-255.76
TCGA-B6-A0IN-01	883.05	946.2	1829.25
TCGA-B6-A0IO-01	-707.96	-270.77	-978.73
TCGA-B6-A0IP-01	-110.59	-213.84	-324.43
TCGA-B6-A0IQ-01	-802.03	-211.72	-1013.75
TCGA-B6-A0RE-01	-417.25	-362.53	-779.78
TCGA-B6-A0RG-01	-48.3	-842.66	-890.96
TCGA-B6-A0RH-01	513.59	-271.88	241.71
TCGA-B6-A0RI-01	642.79	-156.03	486.77
